	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	3.30887	2.46758	2.75436	2.49515	2.87605	2.93	3.42055	2.37708	3.91577	2.97885	2.7186	3.50104	2.95685	3.41204	2.79197	3.56674	3.04403	3.32232	2.96299	4.00653	3.81848	3.16485	3.30731	2.13251	3.5919	2.70942	3.05482	3.14844	2.74056	2.85791
alpha_rarefaction_10_1.txt	10	1	3.02735	2.5731	3.01199	3.66975	2.62634	4.16109	2.64512	2.29456	3.57335	3.03266	3.60496	2.28661	3.13535	3.36433	2.27692	2.98407	2.61672	3.30018	3.16155	2.38215	3.08839	3.26049	3.71954	3.39237	3.51779	2.50949	3.84254	3.13534	3.00062	2.99694
alpha_rarefaction_10_2.txt	10	2	3.35906	3.47372	3.64569	3.25991	2.37613	3.12562	2.79337	2.85236	2.85712	3.17263	3.00027	3.13682	3.06919	3.18271	2.70046	3.02005	3.71496	3.15879	2.56346	3.43975	2.94921	2.77728	2.29817	3.63442	3.66923	2.23657	2.24924	3.07845	3.09985	3.01353
alpha_rarefaction_10_3.txt	10	3	2.96852	2.93443	3.10051	3.11063	2.439	2.85559	3.55866	2.91402	3.10004	2.99474	2.75863	2.84415	2.85523	2.84822	2.64605	2.61628	3.60248	3.4294	2.61071	3.18294	2.14009	2.88944	3.66893	2.1999	2.24437	2.94632	2.07034	3.8704	2.44228	3.19458
alpha_rarefaction_10_4.txt	10	4	2.93353	2.90968	2.90947	2.77017	2.65729	2.56148	2.69605	2.73874	3.25737	3.25339	3.52569	3.20122	3.26651	2.63038	2.68272	3.86317	3.0628	3.05615	2.92069	3.39171	3.39517	3.02832	3.45186	3.49257	2.8595	3.18494	2.8844	3.41103	3.04817	2.53518
alpha_rarefaction_10_5.txt	10	5	2.47747	3.38218	3.54706	3.26361	2.37641	3.62075	3.56278	2.27242	3.00604	1.95922	2.58941	2.96394	3.18031	2.74068	2.92347	3.1251	3.01592	2.6942	2.24207	2.79231	4.1032	4.52172	3.46292	2.80129	3.74748	3.00338	2.67869	2.90627	3.17974	3.02249
alpha_rarefaction_10_6.txt	10	6	3.58245	2.59539	3.03985	3.36087	2.47373	2.93986	3.40871	2.51133	3.43924	2.35766	3.0308	2.8342	2.94783	3.11223	2.97229	3.02691	2.92548	3.52476	3.28048	3.1382	2.27714	2.97492	3.95132	3.54062	3.36049	2.27085	2.77351	3.30981	3.25979	3.06308
alpha_rarefaction_10_7.txt	10	7	2.58788	3.0602	2.5495	3.05263	2.61179	3.12016	2.37927	3.36669	2.31246	3.12527	3.70676	2.6171	2.80289	2.47753	2.64115	2.85966	2.46955	3.37115	2.24854	3.31897	3.47235	3.341	2.42392	3.36518	3.21483	2.73967	2.77523	2.90669	2.93389	2.97048
alpha_rarefaction_10_8.txt	10	8	3.03694	2.77715	4.04414	2.51233	2.4788	2.46688	2.88894	2.84782	2.75136	2.44238	3.26432	3.15794	2.75603	2.39546	3.34214	2.81939	2.93499	3.042	2.89864	2.83867	3.50707	3.16827	3.16673	3.12349	2.54803	2.81242	3.2844	3.08564	2.26642	2.2707
alpha_rarefaction_10_9.txt	10	9	2.73794	3.49266	2.89384	2.89474	3.37024	3.03201	2.81088	2.00259	2.68023	3.674	2.8783	3.17966	2.32368	2.448	2.73863	2.50665	2.52351	3.48471	3.11471	2.59207	3.26989	3.0481	2.58777	3.30609	2.84592	2.83701	3.43957	2.77442	3.65151	3.11331
alpha_rarefaction_10009_0.txt	10009	0	95.72305	86.55739	91.73997	88.74913	87.47586	89.98766	n/a	87.97424	84.49204	88.70703	98.80749	93.02151	91.82506	87.93519	93.29752	89.60866	85.99352	92.60876	83.8128	93.33147	99.76217	93.28292	93.97208	92.34555	96.10012	88.47822	89.82557	92.86289	82.21503	83.67369
alpha_rarefaction_10009_1.txt	10009	1	96.10132	87.29119	89.46839	89.25433	90.87942	89.89605	n/a	85.17514	84.41496	85.5761	96.02754	94.09422	93.2314	90.83697	93.22655	90.23161	85.28119	92.7657	85.62496	92.69065	99.85475	93.47545	97.6252	90.1891	99.6561	90.17818	90.50129	92.88292	81.53867	80.62835
