	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	3.08371	2.44679	3.85902	3.06241	3.13688	3.07153	2.71256	3.29864	2.88215	4.19592	3.70276	2.90303	2.64462	3.23103	2.36098	3.57766	2.73295	3.39149	3.16005	2.6075	3.13414	3.4724	3.62238	2.88637	2.36978	2.32658	3.66027	2.67762	2.67631
alpha_rarefaction_10_1.txt	10	1	3.00987	3.23214	3.057	3.17328	3.35929	2.76269	3.03587	3.46918	3.16947	3.46534	3.46597	2.72321	1.69238	2.91122	3.24381	3.17674	3.93363	3.91412	2.87249	2.83188	3.66049	2.47346	2.95899	2.56245	2.91116	3.46815	2.9209	2.51858	2.60277
alpha_rarefaction_10_2.txt	10	2	2.98414	3.61094	2.94443	2.76716	2.96308	2.24458	2.77346	3.44155	2.81403	2.58057	2.75274	4.1542	3.02204	3.42053	3.02061	2.40427	2.77952	2.70902	2.96826	2.49091	3.15532	2.86027	2.99231	3.60366	3.41135	2.80074	3.53082	3.15769	3.07366
alpha_rarefaction_10_3.txt	10	3	2.57064	3.23259	3.12263	3.8782	2.80678	3.052	3.48418	3.81386	3.29953	3.22584	2.88917	2.67483	3.0768	3.08481	3.06968	3.20268	3.47829	2.64935	3.04196	2.96362	2.79798	3.39846	3.06541	2.60076	3.47415	3.14711	3.12286	2.28624	2.88171
alpha_rarefaction_10_4.txt	10	4	2.31553	2.45464	3.45905	3.25384	3.77084	2.09345	1.56673	2.51111	2.67047	2.76077	3.30459	2.51376	2.24346	3.75252	2.66609	3.19024	2.60413	2.4957	2.65668	2.87756	2.78981	2.76421	3.31008	2.78059	2.22702	2.88979	2.92585	2.17744	2.82626
alpha_rarefaction_10_5.txt	10	5	3.56724	2.80127	3.04345	2.69653	2.67491	3.20298	3.10878	3.48208	2.22358	3.35305	2.7111	3.53544	3.45513	3.31209	3.64733	2.64185	3.66613	3.29115	2.41326	3.23628	3.34459	3.61612	3.37579	3.31713	2.93018	2.66726	3.2354	2.87538	2.92129
alpha_rarefaction_10_6.txt	10	6	3.40725	2.01148	2.08383	2.9759	2.74944	3.2344	3.1194	3.23398	3.00958	2.74651	2.77238	3.30474	2.21552	2.75562	2.71533	3.49768	3.1043	3.27971	2.60758	2.85773	2.77474	3.81956	2.82869	3.35635	2.80773	3.36348	2.83788	3.22838	2.77427
alpha_rarefaction_10_7.txt	10	7	2.88752	3.13327	2.88437	2.90757	3.68056	2.73206	2.22354	3.25878	3.17776	2.49027	2.59354	2.94802	3.30105	2.23579	2.40894	3.44693	2.27703	3.16582	2.79295	3.69455	3.32231	2.66662	3.51127	3.09972	3.00862	3.08884	2.77138	2.26964	2.98594
alpha_rarefaction_10_8.txt	10	8	2.95007	3.42816	2.64606	3.09075	3.15669	2.6623	3.43447	2.77843	2.88963	2.26352	2.68539	3.27011	2.53473	2.71662	3.28297	2.52708	3.53052	2.35974	2.81816	3.45646	2.95951	2.65104	3.28171	3.23437	1.99258	3.24168	2.75684	3.16609	3.32248
alpha_rarefaction_10_9.txt	10	9	3.20968	3.33514	2.93574	3.30316	2.16195	2.98228	2.65649	3.09708	3.0967	2.76492	3.27049	2.71711	3.79271	2.3149	3.48784	2.24238	3.54437	3.14343	2.74235	2.33918	2.11462	2.9397	2.65053	3.35029	3.35184	2.62903	2.65031	3.12305	3.25503
