Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__Elusimicrobia	-0.620927872	0.000159959	0.008477812	0.008477812
k__Bacteria;p__Proteobacteria	0.437311476	0.014830798	0.393016151	0.786032302
k__Bacteria;p__Gemmatimonadetes	0.336012872	0.069289309	0.638833272	1
k__Bacteria;p__BHI80-139	-0.329099879	0.075709703	0.638833272	1
k__Bacteria;p__Fibrobacteres	-0.328569802	0.07622	0.638833272	1
k__Bacteria;p__Tenericutes	-0.326727656	0.078013678	0.638833272	1
k__Bacteria;p__Chlorobi	-0.320442526	0.084374206	0.638833272	1
k__Bacteria;p__Verrucomicrobia	-0.302457019	0.104727964	0.643153738	1
k__Bacteria;p__Chlamydiae	-0.293816493	0.115701649	0.643153738	1
k__Bacteria;p__Planctomycetes	-0.289601087	0.121349762	0.643153738	1
k__Bacteria;p__WPS-2	-0.254208115	0.176851166	0.753173823	1
k__Bacteria;p__WS4	0.239436443	0.204520705	0.753173823	1
k__Bacteria;p__AC1	0.230202494	0.223225804	0.753173823	1
k__Bacteria;p__GOUTA4	0.230202494	0.223225804	0.753173823	1
k__Bacteria;p__OP8	0.230202494	0.223225804	0.753173823	1
k__Bacteria;p__WS2	-0.223527476	0.2374325	0.753173823	1
k__Bacteria;p__WS1	0.221626617	0.241584056	0.753173823	1
k__Bacteria;p__SBR1093	0.199935077	0.292305314	0.801399688	1
k__Bacteria;p__FCPU426	-0.189369271	0.319243554	0.801399688	1
k__Bacteria;p__BRC1	-0.184567657	0.33196684	0.801399688	1
k__Bacteria;p__SR1	0.17915732	0.346661208	0.801399688	1
k__Archaea;p__Euryarchaeota	0.178524735	0.348403966	0.801399688	1
k__Bacteria;p__NKB19	0.173697965	0.3618708	0.801399688	1
k__Bacteria;p__AD3	-0.169199747	0.374688823	0.801399688	1
k__Bacteria;p__	-0.168045715	0.378018721	0.801399688	1
k__Bacteria;p__Acidobacteria	-0.159381577	0.403553118	0.82262751	1
k__Bacteria;p__TM7	-0.138128456	0.470076758	0.922743265	1
k__Bacteria;p__Kazan-3B-28	0.127126751	0.506585723	0.947750519	1
k__Bacteria;p__OD1	0.112209237	0.558196763	0.947750519	1
k__Bacteria;p__Nitrospirae	0.100717009	0.599498833	0.947750519	1
k__Bacteria;p__Fusobacteria	-0.099289611	0.604716829	0.947750519	1
k__Bacteria;p__FBP	0.099177938	0.605125857	0.947750519	1
k__Bacteria;p__WS3	0.088760427	0.643773222	0.947750519	1
k__Bacteria;p__GN02	-0.087437131	0.648749684	0.947750519	1
k__Bacteria;p__GAL15	0.085334899	0.65668533	0.947750519	1
k__Bacteria;p__Actinobacteria	-0.082889906	0.665960122	0.947750519	1
k__Bacteria;p__MVP-21	0.081830472	0.669993795	0.947750519	1
k__Bacteria;p__TM6	0.079337744	0.67951924	0.947750519	1
k__Archaea;p__Crenarchaeota	-0.057568852	0.76458325	0.980847935	1
k__Bacteria;p__Chloroflexi	-0.049991566	0.7948788	0.980847935	1
k__Bacteria;p__OP11	0.043391132	0.821505854	0.980847935	1
k__Bacteria;p__NC10	-0.040008283	0.83522884	0.980847935	1
k__Bacteria;p__Spirochaetes	0.036038162	0.851393347	0.980847935	1
k__Bacteria;p__Firmicutes	-0.03223658	0.866926102	0.980847935	1
k__Bacteria;p__Cyanobacteria	-0.031257798	0.870933224	0.980847935	1
k__Bacteria;p__GN04	0.027650592	0.885726851	0.980847935	1
k__Bacteria;p__Lentisphaerae	0.024051007	0.900526081	0.980847935	1
k__Bacteria;p__Armatimonadetes	-0.023740208	0.901805464	0.980847935	1
k__Archaea;p__[Parvarchaeota]	0.016725781	0.93073684	0.980847935	1
k__Bacteria;p__PAUC34f	-0.01502431	0.937768806	0.980847935	1
k__Bacteria;p__OP3	0.009249745	0.961664874	0.980847935	1
k__Bacteria;p__Bacteroidetes	-0.009086402	0.96234137	0.980847935	1
k__Bacteria;p__[Thermi]	-0.000392416	0.998373071	0.998373071	1
