Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__Chlamydiae	-0.468545276357	0.00827326159139	0.205702154823	0.438482864344
k__Bacteria;p__Proteobacteria	0.461615462086	0.00946563212223	0.205702154823	0.501678502478
k__Archaea;p__Crenarchaeota	-0.435049027253	0.0154367736367	0.205702154823	0.818149002747
k__Archaea;p__[Parvarchaeota]	-0.434726855311	0.0155246909301	0.205702154823	0.822808619294
k__Bacteria;p__Planctomycetes	-0.382664884983	0.0361732781886	0.383436748799	1.0
k__Bacteria;p__PAUC34f	-0.33921858202	0.0664569519333	0.573854859415	1.0
k__Bacteria;p__GN04	-0.317870365788	0.0870866634379	0.573854859415	1.0
k__Bacteria;p__Bacteroidetes	0.302625704439	0.104521658159	0.573854859415	1.0
k__Bacteria;p__Verrucomicrobia	-0.300758817993	0.106821651445	0.573854859415	1.0
k__Bacteria;p__SR1	0.299594742485	0.108274501776	0.573854859415	1.0
k__Bacteria;p__MVP-21	0.259907211943	0.166903313819	0.659078730288	1.0
k__Bacteria;p__OD1	0.258485406504	0.169347712117	0.659078730288	1.0
k__Bacteria;p__WS2	-0.254966256116	0.175504728544	0.659078730288	1.0
k__Bacteria;p__NC10	-0.241556177739	0.200380812056	0.659078730288	1.0
k__Bacteria;p__TM7	0.227722753848	0.228436092133	0.659078730288	1.0
k__Bacteria;p__AD3	-0.22703718593	0.229890617881	0.659078730288	1.0
k__Bacteria;p__Armatimonadetes	-0.226758521356	0.230483584593	0.659078730288	1.0
k__Bacteria;p__Elusimicrobia	-0.219241677526	0.246859471928	0.659078730288	1.0
k__Bacteria;p__WS3	-0.216237014646	0.253611408503	0.659078730288	1.0
k__Bacteria;p__GAL15	-0.21121137499	0.265168756431	0.659078730288	1.0
k__Bacteria;p__GN02	-0.210115565857	0.26773269584	0.659078730288	1.0
k__Bacteria;p__Cyanobacteria	-0.200929799827	0.289844448107	0.659078730288	1.0
k__Bacteria;p__WPS-2	-0.197782472613	0.297675072362	0.659078730288	1.0
k__Bacteria;p__Gemmatimonadetes	0.19747352081	0.298450745791	0.659078730288	1.0
k__Bacteria;p__Spirochaetes	-0.184086561645	0.333258144713	0.706507266791	1.0
k__Bacteria;p__Chloroflexi	-0.171186983495	0.368994308612	0.721515121121	1.0
k__Bacteria;p__Kazan-3B-28	-0.164891965295	0.38720440587	0.721515121121	1.0
k__Bacteria;p__Lentisphaerae	-0.164891965295	0.38720440587	0.721515121121	1.0
k__Bacteria;p__OP11	-0.162318894993	0.394791292689	0.721515121121	1.0
k__Bacteria;p__Acidobacteria	-0.133416170701	0.485547175375	0.797125332398	1.0
k__Bacteria;p__TM6	-0.132922551659	0.487182349531	0.797125332398	1.0
k__Bacteria;p__[Thermi]	0.127079919604	0.506744022191	0.797125332398	1.0
k__Bacteria;p__Firmicutes	-0.125747685403	0.511257327649	0.797125332398	1.0
k__Bacteria;p__FBP	0.123984988958	0.517258669474	0.797125332398	1.0
k__Bacteria;p__NKB19	0.121317714585	0.526403521395	0.797125332398	1.0
k__Bacteria;p__Nitrospirae	-0.111590480548	0.560387455163	0.804990598791	1.0
k__Bacteria;p__Tenericutes	-0.106199515142	0.579635245497	0.804990598791	1.0
k__Bacteria;p__FCPU426	-0.0934966995382	0.626083866921	0.804990598791	1.0
k__Bacteria;p__Fibrobacteres	-0.0920307491082	0.631538315707	0.804990598791	1.0
k__Bacteria;p__OP8	0.0887879813126	0.643669757645	0.804990598791	1.0
k__Bacteria;p__Fusobacteria	-0.0870026804654	0.650386686399	0.804990598791	1.0
k__Bacteria;p__	0.0863861113177	0.65271259325	0.804990598791	1.0
k__Bacteria;p__Actinobacteria	-0.0862820173732	0.653105580151	0.804990598791	1.0
k__Bacteria;p__WS4	-0.0554225465402	0.773132869228	0.912021274112	1.0
k__Archaea;p__Euryarchaeota	-0.0462978770355	0.80975436037	0.912021274112	1.0
k__Bacteria;p__Chlorobi	0.043043198996	0.82291502933	0.912021274112	1.0
k__Bacteria;p__AC1	-0.0380519919911	0.843186316166	0.912021274112	1.0
k__Bacteria;p__GOUTA4	-0.0380519919911	0.843186316166	0.912021274112	1.0
k__Bacteria;p__BHI80-139	0.0359311751526	0.851829778166	0.912021274112	1.0
k__Bacteria;p__WS1	-0.0338329475849	0.860397428407	0.912021274112	1.0
k__Bacteria;p__BRC1	0.0258311992559	0.893202743421	0.928230301987	1.0
k__Bacteria;p__OP3	0.0171839165651	0.928844256994	0.946706646551	1.0
k__Bacteria;p__SBR1093	-0.00582913502692	0.975836236583	0.975836236583	1.0
