Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__SR1	-0.585234150371	0.000495030497252	0.0262366163543	0.0262366163543
k__Bacteria;p__	-0.500111333768	0.00430300739033	0.114029695844	0.228059391687
k__Bacteria;p__NKB19	-0.460901169827	0.00959626144892	0.169533952264	0.508601856793
k__Bacteria;p__WS1	-0.431710324815	0.0163679401751	0.214096273955	0.867500829279
k__Archaea;p__Euryarchaeota	-0.419425696787	0.0201977616939	0.214096273955	1.0
k__Bacteria;p__FBP	-0.363373320051	0.0478697341248	0.422849318103	1.0
k__Bacteria;p__Chloroflexi	-0.327398207375	0.0773571123026	0.585703850291	1.0
k__Bacteria;p__AC1	-0.289760289721	0.121132881563	0.642004272284	1.0
k__Bacteria;p__GOUTA4	-0.289760289721	0.121132881563	0.642004272284	1.0
k__Bacteria;p__Kazan-3B-28	0.289760289721	0.121132881563	0.642004272284	1.0
k__Bacteria;p__Chlamydiae	0.261547037395	0.164114765066	0.684451060951	1.0
k__Bacteria;p__BHI80-139	-0.259766291608	0.16714448258	0.684451060951	1.0
k__Bacteria;p__PAUC34f	0.259334926945	0.167884222497	0.684451060951	1.0
k__Bacteria;p__SBR1093	-0.241369842815	0.200742436347	0.686796281582	1.0
k__Bacteria;p__WS4	-0.227800057144	0.228272464811	0.686796281582	1.0
k__Bacteria;p__Chlorobi	-0.227242399545	0.229454590324	0.686796281582	1.0
k__Bacteria;p__WPS-2	0.215257982719	0.255836935889	0.686796281582	1.0
k__Bacteria;p__FCPU426	0.214937152944	0.256568971524	0.686796281582	1.0
k__Bacteria;p__OP8	-0.203905389063	0.282560516748	0.686796281582	1.0
k__Bacteria;p__GN02	0.192300149496	0.311624868132	0.686796281582	1.0
k__Bacteria;p__BRC1	-0.192076582573	0.312202071962	0.686796281582	1.0
k__Bacteria;p__[Thermi]	-0.187504282679	0.324149786235	0.686796281582	1.0
k__Bacteria;p__Verrucomicrobia	0.186734939489	0.326186883809	0.686796281582	1.0
k__Bacteria;p__OP3	-0.184954391794	0.330930982138	0.686796281582	1.0
k__Bacteria;p__Elusimicrobia	0.18450925487	0.332123435941	0.686796281582	1.0
k__Bacteria;p__WS3	-0.182728707175	0.336918930587	0.686796281582	1.0
k__Bacteria;p__OP11	0.168871589638	0.375633988671	0.737355607391	1.0
k__Archaea;p__Crenarchaeota	-0.148453164051	0.437083206953	0.827336070304	1.0
k__Bacteria;p__Bacteroidetes	-0.128867139409	0.500719959953	0.915108892327	1.0
k__Bacteria;p__TM6	-0.113732484003	0.552820243621	0.932483833976	1.0
k__Bacteria;p__Actinobacteria	0.111951936308	0.559107260961	0.932483833976	1.0
k__Bacteria;p__TM7	-0.110851425211	0.563009107306	0.932483833976	1.0
k__Bacteria;p__GN04	0.101283413606	0.59743353162	0.942891751127	1.0
k__Bacteria;p__Cyanobacteria	-0.0937013224371	0.625324010653	0.942891751127	1.0
k__Bacteria;p__Fibrobacteres	0.0896950901239	0.640267155776	0.942891751127	1.0
k__Bacteria;p__MVP-21	-0.0876154065937	0.648078396775	0.942891751127	1.0
k__Archaea;p__[Parvarchaeota]	0.0849228029971	0.658245184749	0.942891751127	1.0
k__Bacteria;p__Acidobacteria	0.0790118039553	0.680768298984	0.947020297163	1.0
k__Bacteria;p__OD1	0.0693732980576	0.718058940872	0.947020297163	1.0
k__Bacteria;p__Gemmatimonadetes	-0.0669931070156	0.727368169936	0.947020297163	1.0
k__Bacteria;p__Nitrospirae	-0.0594257793128	0.757207682397	0.947020297163	1.0
k__Bacteria;p__Proteobacteria	-0.0585355054655	0.760741267812	0.947020297163	1.0
k__Bacteria;p__WS2	-0.0566256454364	0.768337222227	0.947020297163	1.0
k__Bacteria;p__Firmicutes	-0.0465168085258	0.808870829814	0.947736919978	1.0
k__Bacteria;p__GAL15	-0.0409618284634	0.831355771085	0.947736919978	1.0
k__Bacteria;p__Tenericutes	0.0392156950358	0.83845096076	0.947736919978	1.0
k__Bacteria;p__AD3	-0.0387252714847	0.840445947905	0.947736919978	1.0
k__Bacteria;p__Planctomycetes	-0.0340529746624	0.859498264986	0.949029334256	1.0
k__Bacteria;p__NC10	-0.0286352792282	0.881684649167	0.953658906242	1.0
k__Bacteria;p__Spirochaetes	0.0189425527497	0.921582781214	0.96143271652	1.0
k__Bacteria;p__Armatimonadetes	-0.0109058546304	0.954807490773	0.96143271652	1.0
k__Bacteria;p__Lentisphaerae	0.0107318625823	0.955527794837	0.96143271652	1.0
k__Bacteria;p__Fusobacteria	-0.00930580169597	0.96143271652	0.96143271652	1.0
