Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__WS1	0.40070330613	0.0274052605166	0.764589282067	1.0
k__Bacteria;p__OD1	-0.395808670488	0.0295950098447	0.764589282067	1.0
k__Bacteria;p__SR1	0.370449265631	0.0432786386075	0.764589282067	1.0
k__Archaea;p__Euryarchaeota	0.318108357072	0.0868329823997	0.911295113638	1.0
k__Bacteria;p__FBP	0.282083362348	0.131914822348	0.911295113638	1.0
k__Bacteria;p__Acidobacteria	-0.273667817913	0.144508453556	0.911295113638	1.0
k__Bacteria;p__AC1	0.268206998016	0.153124252826	0.911295113638	1.0
k__Bacteria;p__GOUTA4	0.268206998016	0.153124252826	0.911295113638	1.0
k__Bacteria;p__Bacteroidetes	0.256090779202	0.173520697753	0.911295113638	1.0
k__Bacteria;p__Kazan-3B-28	-0.246750438175	0.190477271968	0.911295113638	1.0
k__Bacteria;p__PAUC34f	-0.245360047528	0.193094805919	0.911295113638	1.0
k__Bacteria;p__Tenericutes	-0.236329331325	0.210692589034	0.911295113638	1.0
k__Bacteria;p__Nitrospirae	-0.230058962376	0.223525216553	0.911295113638	1.0
k__Bacteria;p__SBR1093	-0.204432992936	0.281281116039	0.924836704032	1.0
k__Bacteria;p__Spirochaetes	-0.198944479007	0.294768860365	0.924836704032	1.0
k__Bacteria;p__[Thermi]	0.195323147702	0.303884218301	0.924836704032	1.0
k__Bacteria;p__GAL15	-0.191606456493	0.31341796944	0.924836704032	1.0
k__Bacteria;p__Planctomycetes	-0.191344978378	0.314095484388	0.924836704032	1.0
k__Bacteria;p__OP8	-0.182380758651	0.337860844027	0.930410958698	1.0
k__Bacteria;p__OP3	-0.177550340402	0.35109847498	0.930410958698	1.0
k__Bacteria;p__WS3	0.149516076128	0.433758363072	0.976017102212	1.0
k__Archaea;p__Crenarchaeota	0.148181111163	0.437936381736	0.976017102212	1.0
k__Bacteria;p__Firmicutes	-0.137501391439	0.472120734884	0.976017102212	1.0
k__Bacteria;p__Fusobacteria	-0.130537818368	0.495120702725	0.976017102212	1.0
k__Bacteria;p__Elusimicrobia	-0.125041718429	0.51365683785	0.976017102212	1.0
k__Bacteria;p__Chlamydiae	-0.123275478416	0.51968379166	0.976017102212	1.0
k__Bacteria;p__OP11	-0.12322003383	0.519873531043	0.976017102212	1.0
k__Bacteria;p__GN04	-0.102204786671	0.594080316428	0.976017102212	1.0
k__Bacteria;p__WPS-2	-0.100791841724	0.599225795176	0.976017102212	1.0
k__Bacteria;p__BRC1	0.0972299483155	0.612279165243	0.976017102212	1.0
k__Bacteria;p__Gemmatimonadetes	-0.0967849599937	0.613918074368	0.976017102212	1.0
k__Bacteria;p__AD3	0.0779549934152	0.684823750082	0.976017102212	1.0
k__Bacteria;p__Cyanobacteria	0.0760930030295	0.691989485418	0.976017102212	1.0
k__Bacteria;p__Armatimonadetes	-0.072755590616	0.704897049748	0.976017102212	1.0
k__Bacteria;p__WS2	0.0701382339448	0.715075319076	0.976017102212	1.0
k__Bacteria;p__Verrucomicrobia	0.0700856606851	0.715280251945	0.976017102212	1.0
k__Bacteria;p__MVP-21	-0.0662236801244	0.730385555703	0.976017102212	1.0
k__Bacteria;p__	0.0625208592143	0.744959935845	0.976017102212	1.0
k__Bacteria;p__Fibrobacteres	-0.0618533767316	0.74759634164	0.976017102212	1.0
k__Bacteria;p__Chlorobi	-0.0578484818353	0.763471300151	0.976017102212	1.0
k__Archaea;p__[Parvarchaeota]	0.055407303974	0.773193679181	0.976017102212	1.0
k__Bacteria;p__GN02	-0.0489207356636	0.799184482597	0.976017102212	1.0
k__Bacteria;p__FCPU426	0.0480222796029	0.802801440123	0.976017102212	1.0
k__Bacteria;p__Actinobacteria	-0.0451663146637	0.814324505977	0.976017102212	1.0
k__Bacteria;p__Lentisphaerae	-0.0321848397619	0.867137848381	0.976017102212	1.0
k__Bacteria;p__Proteobacteria	-0.030481700044	0.874112742795	0.976017102212	1.0
k__Bacteria;p__TM7	0.0213618157543	0.911603548532	0.976017102212	1.0
k__Bacteria;p__Chloroflexi	-0.0160195795852	0.933654904126	0.976017102212	1.0
k__Bacteria;p__TM6	-0.0160195795852	0.933654904126	0.976017102212	1.0
k__Bacteria;p__NC10	0.01580823332	0.934528360941	0.976017102212	1.0
k__Bacteria;p__WS4	-0.0140992351233	0.941593945826	0.976017102212	1.0
k__Bacteria;p__NKB19	0.00789337037964	0.967283134482	0.976017102212	1.0
k__Bacteria;p__BHI80-139	-0.0057854917668	0.976017102212	0.976017102212	1.0
