Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__Nitrospirae	0.483208539561	0.00615864841828	0.318200480149	0.326408366169
k__Bacteria;p__GN04	0.431359032633	0.016468529986	0.318200480149	0.87283208926
k__Archaea;p__[Parvarchaeota]	0.417169158596	0.0209745828389	0.318200480149	1.0
k__Bacteria;p__GAL15	0.405447347387	0.0254088645996	0.318200480149	1.0
k__Bacteria;p__Gemmatimonadetes	0.394894857614	0.0300189132216	0.318200480149	1.0
k__Bacteria;p__WS3	0.37842183922	0.0385279531654	0.340330252961	1.0
k__Bacteria;p__WPS-2	-0.348769283546	0.0585419916175	0.392553142427	1.0
k__Bacteria;p__PAUC34f	0.33323306412	0.0718191073398	0.392553142427	1.0
k__Bacteria;p__Bacteroidetes	-0.333121038636	0.0719225104577	0.392553142427	1.0
k__Bacteria;p__WS4	0.33082525686	0.0740666306465	0.392553142427	1.0
k__Bacteria;p__SR1	-0.270409608397	0.149606537901	0.555687262877	1.0
k__Bacteria;p__OP3	0.268601716593	0.152489608606	0.555687262877	1.0
k__Bacteria;p__NC10	0.262287753447	0.162865904165	0.555687262877	1.0
k__Bacteria;p__OP11	0.253673948452	0.177804106131	0.555687262877	1.0
k__Bacteria;p__SBR1093	0.250845610125	0.182908890173	0.555687262877	1.0
k__Bacteria;p__GN02	0.248528014814	0.187166262194	0.555687262877	1.0
k__Bacteria;p__Acidobacteria	0.247095275912	0.189831853198	0.555687262877	1.0
k__Bacteria;p__FBP	-0.235264487125	0.212836204894	0.555687262877	1.0
k__Bacteria;p__Kazan-3B-28	0.231670886376	0.220177972083	0.555687262877	1.0
k__Bacteria;p__Lentisphaerae	0.231670886376	0.220177972083	0.555687262877	1.0
k__Bacteria;p__OP8	0.231670886376	0.220177972083	0.555687262877	1.0
k__Bacteria;p__Chlamydiae	0.226643610918	0.230728394307	0.555845677194	1.0
k__Bacteria;p__TM6	0.208200649148	0.272250945576	0.627360874589	1.0
k__Bacteria;p__WS2	-0.200136961507	0.291804818205	0.644402306869	1.0
k__Bacteria;p__Fibrobacteres	-0.190354879221	0.316669009456	0.659986905769	1.0
k__Bacteria;p__Fusobacteria	-0.18576575352	0.328764081532	0.659986905769	1.0
k__Bacteria;p__FCPU426	-0.18087761458	0.341947913465	0.659986905769	1.0
k__Bacteria;p__Tenericutes	0.17842749115	0.348672327576	0.659986905769	1.0
k__Bacteria;p__BRC1	-0.166102935474	0.383662495634	0.674186089132	1.0
k__Bacteria;p__Chloroflexi	0.162213472798	0.395103902527	0.674186089132	1.0
k__Bacteria;p__Actinobacteria	-0.161298305109	0.397823482095	0.674186089132	1.0
k__Bacteria;p__Proteobacteria	0.153976963601	0.419953258984	0.674186089132	1.0
k__Archaea;p__Euryarchaeota	0.151947138738	0.426205051363	0.674186089132	1.0
k__Bacteria;p__BHI80-139	-0.148159250953	0.438004975209	0.674186089132	1.0
k__Bacteria;p__NKB19	0.137289781242	0.472811520589	0.674186089132	1.0
k__Bacteria;p__Spirochaetes	0.135836361214	0.477569995491	0.674186089132	1.0
k__Bacteria;p__TM7	-0.135574295274	0.47843056948	0.674186089132	1.0
k__Bacteria;p__Planctomycetes	0.134072066374	0.483378705415	0.674186089132	1.0
k__Bacteria;p__	-0.114167169148	0.551290287638	0.722092274526	1.0
k__Bacteria;p__OD1	0.106167112611	0.579751797476	0.722092274526	1.0
k__Bacteria;p__Elusimicrobia	-0.101126029586	0.598007105697	0.722092274526	1.0
k__Bacteria;p__AC1	0.0992875227326	0.604724476573	0.722092274526	1.0
k__Bacteria;p__GOUTA4	0.0992875227326	0.604724476573	0.722092274526	1.0
k__Bacteria;p__[Thermi]	-0.0983116830528	0.60830259197	0.722092274526	1.0
k__Bacteria;p__Verrucomicrobia	-0.0970077749875	0.61309721422	0.722092274526	1.0
k__Bacteria;p__Chlorobi	-0.0704679120193	0.713790653565	0.822410970412	1.0
k__Bacteria;p__Cyanobacteria	-0.0517069744037	0.787993438085	0.888588345075	1.0
k__Archaea;p__Crenarchaeota	0.0347763721653	0.856543220866	0.934743581573	1.0
k__Bacteria;p__Armatimonadetes	0.0327172448661	0.864959420686	0.934743581573	1.0
k__Bacteria;p__Firmicutes	-0.0285989902676	0.881833567522	0.934743581573	1.0
k__Bacteria;p__MVP-21	-0.0162556899121	0.932679189319	0.966739106249	1.0
k__Bacteria;p__WS1	0.012430122233	0.948498745754	0.966739106249	1.0
k__Bacteria;p__AD3	0.00722544420469	0.970050330812	0.970050330812	1.0
