Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
5	4	3420.74952293	289.618112367	3319.96680313	155.274587387	0.417219097791	1.0
3	5	3487.55667811	392.395529504	3420.74952293	289.618112367	0.323996727359	1.0
1	4	3405.41806619	269.116116404	3319.96680313	155.274587387	0.407731050192	1.0
1	2	3405.41806619	269.116116404	3156.35183744	0.0	-0.856843966964	1.0
1	5	3405.41806619	269.116116404	3420.74952293	289.618112367	-0.112220063813	1.0
3	2	3487.55667811	392.395529504	3156.35183744	0.0	-0.713359758785	1.0
3	4	3487.55667811	392.395529504	3319.96680313	155.274587387	0.509942462146	1.0
2	5	3156.35183744	0.0	3420.74952293	289.618112367	-0.790610471369	1.0
1	3	3405.41806619	269.116116404	3487.55667811	392.395529504	-0.502414380531	1.0
2	4	3156.35183744	0.0	3319.96680313	155.274587387	-0.608361909517	1.0
