Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
5	8	3386.37016786	181.762871665	3654.89660112	14.340957678	-1.84093627851	1.0
6.5	8	3568.56436647	313.970450005	3654.89660112	14.340957678	-0.274682911841	1.0
5	9	3386.37016786	181.762871665	3336.17062932	257.585932498	0.40949542304	1.0
8.5	5.5	3317.81626749	394.339314663	3467.80157613	377.978920589	-0.487769744998	1.0
8.5	6.5	3317.81626749	394.339314663	3568.56436647	313.970450005	-0.584001981164	1.0
8.5	9	3317.81626749	394.339314663	3336.17062932	257.585932498	-0.0844166460524	1.0
5.5	6.5	3467.80157613	377.978920589	3568.56436647	313.970450005	-0.294392204288	1.0
5.5	9	3467.80157613	377.978920589	3336.17062932	257.585932498	0.746697200449	1.0
9	8	3336.17062932	257.585932498	3654.89660112	14.340957678	-1.5822886067	1.0
5.5	8	3467.80157613	377.978920589	3654.89660112	14.340957678	-0.606088601867	1.0
5.5	5	3467.80157613	377.978920589	3386.37016786	181.762871665	0.465299420012	1.0
8.5	8	3317.81626749	394.339314663	3654.89660112	14.340957678	-0.935971413404	1.0
6.5	9	3568.56436647	313.970450005	3336.17062932	257.585932498	1.00066959963	1.0
8.5	5	3317.81626749	394.339314663	3386.37016786	181.762871665	-0.336379257803	1.0
6.5	5	3568.56436647	313.970450005	3386.37016786	181.762871665	0.918526998969	1.0
