Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
1	2	3640.55564345	0.0	3091.73144259	64.620394853	4.90346431377	1.0
3	7	3347.96392951	217.777144906	3434.64400414	108.87643123	-0.488433391975	1.0
5	7	3458.44840708	351.557237809	3434.64400414	108.87643123	0.0893795303406	1.0
1	7	3640.55564345	0.0	3434.64400414	108.87643123	1.0919088644	1.0
5	4	3458.44840708	351.557237809	3583.56295419	0.0	0.332901529986	1.0
1	3	3640.55564345	0.0	3347.96392951	217.777144906	1.1848885108	1.0
4	7	3583.56295419	0.0	3434.64400414	108.87643123	0.789687859211	1.0
3	2	3347.96392951	217.777144906	3091.73144259	64.620394853	1.47215635561	1.0
2	7	3091.73144259	64.620394853	3434.64400414	108.87643123	-2.70843462735	1.0
1	5	3640.55564345	0.0	3458.44840708	351.557237809	0.484546193952	1.0
1	4	3640.55564345	0.0	3583.56295419	0.0	None	None
3	4	3347.96392951	217.777144906	3583.56295419	0.0	0.954089142638	1.0
2	5	3091.73144259	64.620394853	3458.44840708	351.557237809	-1.38259535287	1.0
3	5	3347.96392951	217.777144906	3458.44840708	351.557237809	-0.773862581135	1.0
2	4	3091.73144259	64.620394853	3583.56295419	0.0	4.39426370363	1.0
