Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
5	4	2542.08571429	163.877013367	2465.1	136.1	0.535520109123	1.0
3	5	2589.11666667	261.910604448	2542.08571429	163.877013367	0.362086350631	1.0
1	4	2536.70769231	155.105554439	2465.1	136.1	0.57473069169	1.0
1	2	2536.70769231	155.105554439	2259.3	0.0	-1.65583765391	1.0
1	5	2536.70769231	155.105554439	2542.08571429	163.877013367	-0.0687793820032	1.0
3	2	2589.11666667	261.910604448	2259.3	0.0	-1.06427901116	1.0
3	4	2589.11666667	261.910604448	2465.1	136.1	0.555465946885	1.0
2	5	2259.3	0.0	2542.08571429	163.877013367	-1.49441100595	1.0
1	3	2536.70769231	155.105554439	2589.11666667	261.910604448	-0.514435974508	1.0
2	4	2259.3	0.0	2465.1	136.1	-0.873024874351	1.0
