Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
5	8	2558.18571429	165.646693112	2623.5	24.7	-0.490222296652	1.0
6.5	8	2614.85	197.55	2623.5	24.7	-0.0434480901433	1.0
5	9	2558.18571429	165.646693112	2469.86666667	203.620807712	0.872204085959	1.0
8.5	5.5	2474.36666667	190.498299788	2576.68333333	186.159693245	-0.680169037498	1.0
8.5	6.5	2474.36666667	190.498299788	2614.85	197.55	-0.61652007808	1.0
8.5	9	2474.36666667	190.498299788	2469.86666667	203.620807712	0.0307447152307	1.0
5.5	6.5	2576.68333333	186.159693245	2614.85	197.55	-0.214108627748	1.0
5.5	9	2576.68333333	186.159693245	2469.86666667	203.620807712	0.9586099508	1.0
9	8	2469.86666667	203.620807712	2623.5	24.7	-0.963594498699	1.0
5.5	8	2576.68333333	186.159693245	2623.5	24.7	-0.307107155095	1.0
5.5	5	2576.68333333	186.159693245	2558.18571429	165.646693112	0.174354343496	1.0
8.5	8	2474.36666667	190.498299788	2623.5	24.7	-0.852813444475	1.0
6.5	9	2614.85	197.55	2469.86666667	203.620807712	0.82830892152	1.0
8.5	5	2474.36666667	190.498299788	2558.18571429	165.646693112	-0.626263318528	1.0
6.5	5	2614.85	197.55	2558.18571429	165.646693112	0.359765721695	1.0
