Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
1	2	2598.8	0.0	2250.4	8.9	22.6009925602	1.0
3	7	2487.9875	159.547104624	2652.75	16.35	-1.30454805896	1.0
5	7	2572.12666667	201.942531319	2652.75	16.35	-0.530126377345	1.0
1	7	2598.8	0.0	2652.75	16.35	-1.90507932861	1.0
5	4	2572.12666667	201.942531319	2605.1	0.0	0.152735180929	1.0
1	3	2598.8	0.0	2487.9875	159.547104624	0.612530320015	1.0
4	7	2605.1	0.0	2652.75	16.35	-1.68261408727	1.0
3	2	2487.9875	159.547104624	2250.4	8.9	1.88289365295	1.0
2	7	2250.4	8.9	2652.75	16.35	-21.6138443592	1.0
1	5	2598.8	0.0	2572.12666667	201.942531319	0.12355306488	1.0
1	4	2598.8	0.0	2605.1	0.0	None	None
3	4	2487.9875	159.547104624	2605.1	0.0	0.647354378817	1.0
2	5	2250.4	8.9	2572.12666667	201.942531319	-2.11611468556	0.812
3	5	2487.9875	159.547104624	2572.12666667	201.942531319	-0.975352161722	1.0
2	4	2250.4	8.9	2605.1	0.0	23.0096787058	1.0
