Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
1	2	131.608841	0.0	116.5619815	2.6636255	3.26146013499	1.0
3	7	125.202671375	4.62903165113	130.1872805	1.1025055	-1.35251818689	1.0
5	7	128.0805262	6.78084029805	130.1872805	1.1025055	-0.412005000448	1.0
1	7	131.608841	0.0	130.1872805	1.1025055	0.744430152361	1.0
5	4	128.0805262	6.78084029805	136.135949	0.0	1.1112425193	1.0
1	3	131.608841	0.0	125.202671375	4.62903165113	1.22049512451	1.0
4	7	136.135949	0.0	130.1872805	1.1025055	3.11514578367	1.0
3	2	125.202671375	4.62903165113	116.5619815	2.6636255	2.26907519094	0.91
2	7	116.5619815	2.6636255	130.1872805	1.1025055	-4.72644464854	1.0
1	5	131.608841	0.0	128.0805262	6.78084029805	0.486729688136	1.0
1	4	131.608841	0.0	136.135949	0.0	None	None
3	4	125.202671375	4.62903165113	136.135949	0.0	2.08299386644	0.476
2	5	116.5619815	2.6636255	128.0805262	6.78084029805	-2.2337163325	0.602
3	5	125.202671375	4.62903165113	128.0805262	6.78084029805	-1.02653389897	1.0
2	4	116.5619815	2.6636255	136.135949	0.0	4.24272684176	1.0
